district,title,link,orientation,deal_date,total_price,position,unit_price,features,list_amount,transaction_day,agent_name,agent_link
Huangpu,北蒙三小区 1室1厅 40.6平米,https://sh.lianjia.com/chengjiao/107104793011.html,南 西南 | 简装,2022.01.14,440万,低楼层(共7层) 1989年板楼,108375元/平,"房屋满五年, 近地铁",挂牌455万,成交周期27天,陈晓燕,https://dianpu.lianjia.com/1000000022095259/
Huangpu,丽园新村 1室0厅 23.11平米,https://sh.lianjia.com/chengjiao/107104002424.html,南 | 其他,2022.01.10,306万,高楼层(共6层) 1980年板楼,132411元/平,"房屋满五年, 近地铁",挂牌310万,成交周期234天,苏聪聪,https://dianpu.lianjia.com/1000000022240916/
Huangpu,蒙西小区 1室1厅 38.45平米,https://sh.lianjia.com/chengjiao/107104672478.html,南 | 精装,2022.01.05,443万,中楼层(共7层) 1994年板楼,115215元/平,近地铁,挂牌468万,成交周期51天,张胜胜,https://dianpu.lianjia.com/1000000022102154/
Huangpu,蒙自路395弄 1室1厅 37.5平米,https://sh.lianjia.com/chengjiao/107103960719.html,南 | 简装,2022.01.02,396万,低楼层(共7层) 1987年板楼,105600元/平,"房屋满五年, 近地铁",挂牌399万,成交周期237天,王应朝,https://dianpu.lianjia.com/1000000026580249/
Huangpu,汝南街小区 1室1厅 42.04平米,https://sh.lianjia.com/chengjiao/107104409471.html,南 | 简装,2022.01.01,455万,低楼层(共7层) 1988年板楼,108231元/平,近地铁,挂牌480万,成交周期120天,杨聪,https://dianpu.lianjia.com/1000000022282017/
Huangpu,桥一小区 2室1厅 55.7平米,https://sh.lianjia.com/chengjiao/107104609150.html,南 | 简装,2021.12.30,576万,高楼层(共7层) 1989年板楼,103412元/平,房屋满五年,挂牌605万,成交周期63天,郭长庆,https://dianpu.lianjia.com/1000000022258496/
Huangpu,局后小区 2室0厅 51.47平米,https://sh.lianjia.com/chengjiao/107104691510.html,南 | 简装,2021.12.27,502万,高楼层(共6层) 1983年板楼,97533元/平,"房屋满五年, 近地铁",挂牌510万,成交周期36天,丁小芳,https://dianpu.lianjia.com/1000000022098250/
Huangpu,正达公寓 2室2厅 91.31平米,https://sh.lianjia.com/chengjiao/107104685742.html,南 | 精装,2021.12.26,952万,低楼层(共7层) 1995年板楼,104261元/平,"房屋满五年, 近地铁",挂牌988万,成交周期37天,李瑞,https://dianpu.lianjia.com/1000000022244373/
Huangpu,蒙西小区 2室1厅 50.64平米,https://sh.lianjia.com/chengjiao/107104625373.html,南 | 精装,2021.12.22,568万,高楼层(共7层) 1993年板楼,112165元/平,"房屋满五年, 近地铁",挂牌590万,成交周期50天,刘吉贤,https://dianpu.lianjia.com/1000000022183705/
Huangpu,北蒙三小区 1室1厅 32.32平米,https://sh.lianjia.com/chengjiao/107104771956.html,南 | 简装,2021.12.19,339万,中楼层(共5层) 1976年板楼,104889元/平,近地铁,挂牌350万,成交周期7天,陶长建,https://dianpu.lianjia.com/1000000022114046/
Huangpu,丽一小区  1室0厅 26.45平米,https://sh.lianjia.com/chengjiao/107104593482.html,东 | 毛坯,2021.12.13,270万,中楼层(共7层) 1987年板楼,102080元/平,近地铁,挂牌278万,成交周期50天,张清云,https://dianpu.lianjia.com/1000000026531465/
Huangpu,局三小区 2室1厅 49.58平米,https://sh.lianjia.com/chengjiao/107104124987.html,南 | 精装,2021.12.09,532万,低楼层(共5层) 1984年板楼,107302元/平,"房屋满五年, 近地铁",挂牌560万,成交周期172天,孟立群,https://dianpu.lianjia.com/1000000022279949/
Huangpu,仁德坊 2室1厅 92.52平米,https://sh.lianjia.com/chengjiao/107104650202.html,南 北 | 精装,2021.12.09,1250万,中楼层(共31层) 2001年板楼,135106元/平,,挂牌1298万,成交周期30天,陈春祝,https://dianpu.lianjia.com/1000000022248805/
